names,lat,lon,seed,plot,harv,unharv,pd1,pd2,pd3,pd4,pd5,fert
b0b4dcb4,-15.07,26.74,45,2.5,6600,0,2015-11-15,2015-12-13,,,,520
dbc9f0f2,-15.22,27.35,100,5,5500,0,2016-01-18,2015-12-13,2015-12-13,,,2160
32b7031f,-13.53,28.94,25,1.5,3250,0,2015-11-24,2015-12-13,,,,
36903bab,-13.58,29.58,10,0.4,450,0,2015-12-24,,,,,
df66779,-13.73,29.06,10,0.5,500,0,2015-12-01,,,,,
5a2ca9e7,-13.59,29.58,5,0.2,250,0,2015-12-13,,,,,
f22b2351,-13.73,29.05,15,0.6,950,0,2015-12-01,2015-12-24,,,,
c00cd5d6,-15.07,26.74,20,0.8,310,0,2015-12-01,,,,,672
c8a0c7b5,-15.07,26.75,20,1,300,0,2015-12-06,2015-12-13,,,,
471d1fef,-13.57,28.9,10,0.25,1000,0,2016-01-04,,,,,
bf58f16,-15.4,27.07,25,1,2750,0,2015-11-24,2015-12-01,,,,400
93e430d1,-14.51,26.95,10,0.5,1700,0,2015-11-02,,,,,800
97fde8a3,-14.55,26.92,20,0.5,450,0,2015-11-08,,,,,
f5e64c20,-13.59,29.58,10,0.5,400,0,2015-11-02,,,,,
1abcb4e5,-15.23,27.35,19,0.5,750,0,2016-01-04,,,,,
f796a3ec,-15.41,27.08,20,1,1000,0,2015-12-01,2015-12-24,,,,
4904a139,-15.42,27.06,30,1.5,800,0,2015-12-13,,,,,
f67da32d,-13.58,29.57,0,0,0,0,,,,,,
43354115,-13.96,29.43,70,3.4,5500,0,2015-11-08,2015-11-08,2015-11-15,,,
20461a45,-13.91,29.42,20,1,2750,0,2015-12-24,,,,,
e29b5049,-13.52,28.95,5,0.5,500,0,2015-12-06,,,,,
df4d9e35,-13.92,29.42,15,0.3,590,0,2015-12-01,,,,,
9923f9f3,-15.21,27.35,40,3,1500,0,2015-12-01,,,,,
8f0403de,-15.21,27.36,25,1,2400,0,2015-12-06,2015-12-13,,,,
45464acd,-15.41,27.08,80,5.25,7000,0,2015-12-13,2015-12-24,2015-12-06,2015-12-13,2015-12-06,
d47e17dd,-15.07,26.75,40,1.6,1220,0,2015-12-01,2015-12-06,,,,
df80f36,-13.54,28.91,10,0.36,300,0,2015-12-13,,,,,
