"assignment_id","worker_id","status","name","max_assignments","mapped_count"
"33IZTU6J811ZNBYK4QGASX307KFXSG","A1XVZCQ983ETMR","Approved","TZ0812265",20,20
"3I33IC7ZWF2UMZ9TZ19QH7FY85F2AM","A2HGAQ9WOEU9PN","Approved","TZ0812265",20,20
"3U5JL4WY5K9GLQW9EPKSUUNUT4M4XQ","AUW6U0UX2VC7Q","Approved","TZ0812265",20,20
"39DD6S19JPBNINTH4DKQ01FWETEZEO","A3UE459HVZC0FF","Approved","TZ0812265",20,20
"3ZQIG0FLQEG0Q3AYOGPT1190XMNWVB","ADLYO655RWJUI","Approved","TZ0812265",20,20
"3QAVNHZ3EM40NLV197RVW3E7E5PLAD","A08713333G059I6B3STS6","Approved","TZ0812265",20,20
"3RXCAC0YIRP6I5OL1IA1NK34T1AG88","AMUC6OI4A2GY4","Approved","TZ0812265",20,20
"3L70J4KAZGMHP979WQT7DQ626X8ADA","A18T67NDI2JK5Y","Untrusted","TZ0812265",20,20
"3W8CV64QJ2ZKW626QGYX8GAGS7P9H9","A16H809DRDT4B9","Untrusted","TZ0812265",20,20
"3SNVL38CI4SDWUAH8LBLNYRGQ9WKC5","A2RMJNF6IPI42F","Approved","TZ0812265",20,20
"304SM51WA34SA8VJZUOS30C8PICSBQ","A3MZLFTQM5XWK","Approved","TZ0812265",20,20
"3TE3O857308MLGVA1CVCCX489A5R2O","A3VE5OH94HYHET","Approved","TZ0812265",20,20
"3A0EX8ZRN8OP6U7SY0GHLM0964JBY0","A2Q1YS118AO2BP","Approved","TZ0812265",20,20
"3WOKGM4L71GCST0GUXAUZE6O1QYO0R","A1SL65Z68BK1UT","Approved","TZ0812265",20,20
"33F859I566D3KZH3O0CTZM56G8OBHJ","A2FJSIQEW4HBKK","Approved","TZ0812265",20,20
"3EQHHY4HQSSNVN5J3K3YB0TDRC4G53","A4T1X0PO5N1G9","Approved","TZ0812265",20,20
"3R6P78PK7KBPGPG94GLWEGZR7GGTGZ","A2ISTNRL26YN9F","Approved","TZ0812265",20,20
"30H4UDGLT2IRG7JOY2A7MBIREZKMP8","ALY6JTDRJKD92","Approved","TZ0812265",20,20
"3SNVL38CI4SDWUAH8LBLNYRGQBNKC0","A2X865QLB42XYL","Approved","TZ0812265",20,20
"3M23Y66PO27M4WEO337KSKQGBHG6SY","A2NGIJ1BSU9B9V","Approved","TZ0812265",20,20
"3WAKVUDHUWGLN9KXBI7CDZ80RR2U7M","AEJMW2LLLCVFI","Approved","ZM0663075",20,20
"33SA9F9TRXUJOSOCTQ0J1XLEYUHEWR","A1RILUP7EBYOQ1","Approved","ZM0663075",20,20
"3QHK8ZVMIMI56V0TFLRRREYDXQ2BLX","A2O31IKB0RQXPE","Untrusted","ZM0663075",20,20
