podid,lat,lon,date,rain
B00001,-15.75246,26.76351,2016-10-12,2.54
B00001,-15.75246,26.76351,2016-10-13,0
B00001,-15.75246,26.76351,2016-10-14,2.794
B00001,-15.75246,26.76351,2016-10-15,0
B00001,-15.75246,26.76351,2016-10-16,0
B00001,-15.75246,26.76351,2016-10-17,0
B00001,-15.75246,26.76351,2016-10-18,0
B00001,-15.75246,26.76351,2016-10-19,0
B00001,-15.75246,26.76351,2016-10-20,0
B00001,-15.75246,26.76351,2016-10-21,0
B00001,-15.75246,26.76351,2016-10-22,0
B00001,-15.75246,26.76351,2016-10-23,0
B00001,-15.75246,26.76351,2016-10-24,0
B00001,-15.75246,26.76351,2016-10-25,0
B00001,-15.75246,26.76351,2016-10-26,0
B00001,-15.75246,26.76351,2016-10-27,0
B00001,-15.75246,26.76351,2016-10-28,0
B00001,-15.75246,26.76351,2016-10-29,0
B00001,-15.75246,26.76351,2016-10-30,0
B00001,-15.75246,26.76351,2016-10-31,0
B00001,-15.75246,26.76351,2016-11-01,0
B00001,-15.75246,26.76351,2016-11-02,0
B00001,-15.75246,26.76351,2016-11-03,0
B00001,-15.75246,26.76351,2016-11-04,0
B00001,-15.75246,26.76351,2016-11-05,0
B00001,-15.75246,26.76351,2016-11-06,0
B00001,-15.75246,26.76351,2016-11-07,0
B00001,-15.75246,26.76351,2016-11-08,0
B00001,-15.75246,26.76351,2016-11-09,0
B00001,-15.75246,26.76351,2016-11-10,0
B00001,-15.75246,26.76351,2016-11-11,0
B00001,-15.75246,26.76351,2016-11-12,0
B00001,-15.75246,26.76351,2016-11-13,0
B00001,-15.75246,26.76351,2016-11-14,0.508
B00001,-15.75246,26.76351,2016-11-15,0
B00001,-15.75246,26.76351,2016-11-16,0
B00001,-15.75246,26.76351,2016-11-17,0
B00001,-15.75246,26.76351,2016-11-18,0
B00001,-15.75246,26.76351,2016-11-19,0
B00001,-15.75246,26.76351,2016-11-20,6.096
B00001,-15.75246,26.76351,2016-11-21,4.826
B00001,-15.75246,26.76351,2016-11-22,0
B00001,-15.75246,26.76351,2016-11-23,0
B00001,-15.75246,26.76351,2016-11-24,4.064
B00001,-15.75246,26.76351,2016-11-25,67.31
B00001,-15.75246,26.76351,2016-11-26,20.066
B00001,-15.75246,26.76351,2016-11-27,0.254
B00001,-15.75246,26.76351,2016-11-28,0
B00001,-15.75246,26.76351,2016-11-29,0
B00001,-15.75246,26.76351,2016-11-30,0
B00001,-15.75246,26.76351,2016-12-01,0
B00001,-15.75246,26.76351,2016-12-02,0
B00001,-15.75246,26.76351,2016-12-03,0
B00001,-15.75246,26.76351,2016-12-04,0
B00001,-15.75246,26.76351,2016-12-05,0
B00001,-15.75246,26.76351,2016-12-06,0
B00001,-15.75246,26.76351,2016-12-07,0
B00001,-15.75246,26.76351,2016-12-08,0.508
B00001,-15.75246,26.76351,2016-12-09,6.858
B00001,-15.75246,26.76351,2016-12-10,3.302
B00001,-15.75246,26.76351,2016-12-11,11.176
B00001,-15.75246,26.76351,2016-12-12,65.786
B00001,-15.75246,26.76351,2016-12-13,0
B00001,-15.75246,26.76351,2016-12-14,16.51
B00001,-15.75246,26.76351,2016-12-15,0.254
B00001,-15.75246,26.76351,2016-12-16,0
B00001,-15.75246,26.76351,2016-12-17,2.794
B00001,-15.75246,26.76351,2016-12-18,4.826
B00001,-15.75246,26.76351,2016-12-19,0
B00001,-15.75246,26.76351,2016-12-20,1.27
B00001,-15.75246,26.76351,2016-12-21,0
B00001,-15.75246,26.76351,2016-12-22,0
B00001,-15.75246,26.76351,2016-12-23,0
B00001,-15.75246,26.76351,2016-12-24,0
B00001,-15.75246,26.76351,2016-12-25,14.224
B00001,-15.75246,26.76351,2016-12-26,0.508
B00001,-15.75246,26.76351,2016-12-27,0
B00001,-15.75246,26.76351,2016-12-28,1.27
B00001,-15.75246,26.76351,2016-12-29,0.254
B00001,-15.75246,26.76351,2016-12-30,46.736
B00001,-15.75246,26.76351,2016-12-31,0
B00001,-15.75246,26.76351,2017-01-01,5.588
B00001,-15.75246,26.76351,2017-01-02,2.286
B00001,-15.75246,26.76351,2017-01-03,4.826
B00001,-15.75246,26.76351,2017-01-04,3.048
B00001,-15.75246,26.76351,2017-01-05,0
B00001,-15.75246,26.76351,2017-01-06,5.588
B00001,-15.75246,26.76351,2017-01-07,1.016
B00001,-15.75246,26.76351,2017-01-08,12.954
B00001,-15.75246,26.76351,2017-01-09,7.874
B00001,-15.75246,26.76351,2017-01-10,1.778
B00001,-15.75246,26.76351,2017-01-11,1.524
B00001,-15.75246,26.76351,2017-01-12,0.254
B00001,-15.75246,26.76351,2017-01-13,2.54
B00001,-15.75246,26.76351,2017-01-14,0.762
B00001,-15.75246,26.76351,2017-01-15,8.89
B00001,-15.75246,26.76351,2017-01-16,7.874
B00001,-15.75246,26.76351,2017-01-17,0.254
B00001,-15.75246,26.76351,2017-01-18,11.938
B00001,-15.75246,26.76351,2017-01-19,16.002
B00001,-15.75246,26.76351,2017-01-20,44.704
B00001,-15.75246,26.76351,2017-01-21,17.272
B00001,-15.75246,26.76351,2017-01-22,24.638
B00001,-15.75246,26.76351,2017-01-23,0.254
B00001,-15.75246,26.76351,2017-01-24,0
B00001,-15.75246,26.76351,2017-01-25,1.778
B00001,-15.75246,26.76351,2017-01-26,24.638
B00001,-15.75246,26.76351,2017-01-27,4.064
B00001,-15.75246,26.76351,2017-01-28,0
B00001,-15.75246,26.76351,2017-01-29,3.81
B00001,-15.75246,26.76351,2017-01-30,23.622
B00001,-15.75246,26.76351,2017-01-31,0.508
B00001,-15.75246,26.76351,2017-02-01,24.384
B00001,-15.75246,26.76351,2017-02-02,5.842
B00001,-15.75246,26.76351,2017-02-03,3.302
