uuid,lat,lon,date,season,pl
009a8424-a45e-4828-8aa3-4f82d75b6f74,-16.926,27.256,2015-11-15,1,0
009a8424-a45e-4828-8aa3-4f82d75b6f74,-16.926,27.256,2015-11-30,1,1
009a8424-a45e-4828-8aa3-4f82d75b6f74,-16.926,27.256,2015-12-09,1,1
009a8424-a45e-4828-8aa3-4f82d75b6f74,-16.926,27.256,2015-12-13,1,1
00df166f-2fd8-4a5f-b8f5-7e92d86faceb,-16.504,26.942,2015-11-15,1,0
00df166f-2fd8-4a5f-b8f5-7e92d86faceb,-16.504,26.942,2015-12-09,1,1
00df166f-2fd8-4a5f-b8f5-7e92d86faceb,-16.504,26.942,2015-12-13,1,1
00df166f-2fd8-4a5f-b8f5-7e92d86faceb,-16.504,26.942,2015-12-20,1,0
00df166f-2fd8-4a5f-b8f5-7e92d86faceb,-16.504,26.942,2015-12-30,1,0
00df166f-2fd8-4a5f-b8f5-7e92d86faceb,-16.504,26.942,2016-01-03,1,0
00df166f-2fd8-4a5f-b8f5-7e92d86faceb,-16.504,26.942,2016-01-10,1,0
0216b983-ccf3-476a-bfa9-b43024e59589,-16.821,26.967,2015-11-30,1,1
0216b983-ccf3-476a-bfa9-b43024e59589,-16.821,26.967,2015-12-20,1,1
02671a00-aabe-46ad-9401-be70d6b34aea,-16.914,27.254,2015-11-15,1,0
02671a00-aabe-46ad-9401-be70d6b34aea,-16.914,27.254,2015-11-22,1,0
02671a00-aabe-46ad-9401-be70d6b34aea,-16.914,27.254,2015-11-30,1,0
02671a00-aabe-46ad-9401-be70d6b34aea,-16.914,27.254,2015-12-09,1,0
02671a00-aabe-46ad-9401-be70d6b34aea,-16.914,27.254,2015-12-16,1,1
02671a00-aabe-46ad-9401-be70d6b34aea,-16.914,27.254,2015-12-20,1,1
02671a00-aabe-46ad-9401-be70d6b34aea,-16.914,27.254,2015-12-27,1,1
0360d642-82bf-4f53-aac1-2c7e26fc793c,-16.604,26.825,2015-11-29,1,1
0360d642-82bf-4f53-aac1-2c7e26fc793c,-16.604,26.825,2015-12-09,1,1
0360d642-82bf-4f53-aac1-2c7e26fc793c,-16.604,26.825,2015-12-13,1,1
0360d642-82bf-4f53-aac1-2c7e26fc793c,-16.604,26.825,2015-12-20,1,1
03f4dcca-66be-4c13-9064-10ea7bc7270d,-16.733,27.237,2015-11-15,1,0
03f4dcca-66be-4c13-9064-10ea7bc7270d,-16.733,27.237,2015-11-22,1,0
03f4dcca-66be-4c13-9064-10ea7bc7270d,-16.733,27.237,2015-11-29,1,0
03f4dcca-66be-4c13-9064-10ea7bc7270d,-16.733,27.237,2015-12-09,1,1
03f4dcca-66be-4c13-9064-10ea7bc7270d,-16.733,27.237,2015-12-20,1,1
042cf7b3-5dfe-456e-a23e-0ce932e86592,-16.807,27.138,2015-11-15,1,0
042cf7b3-5dfe-456e-a23e-0ce932e86592,-16.807,27.138,2015-12-06,1,1
042cf7b3-5dfe-456e-a23e-0ce932e86592,-16.807,27.138,2015-12-13,1,1
042cf7b3-5dfe-456e-a23e-0ce932e86592,-16.807,27.138,2015-12-20,1,0
042cf7b3-5dfe-456e-a23e-0ce932e86592,-16.807,27.138,2015-12-27,1,0
042cf7b3-5dfe-456e-a23e-0ce932e86592,-16.807,27.138,2016-01-03,1,0
042cf7b3-5dfe-456e-a23e-0ce932e86592,-16.807,27.138,2016-01-10,1,0
044f9ff6-ff36-4b61-8e16-df63bc6c2dcc,-16.604,26.817,2016-01-06,1,1
044f9ff6-ff36-4b61-8e16-df63bc6c2dcc,-16.604,26.817,2016-01-10,1,0
04702070-4526-45e6-aee2-ad8ab3b36606,-16.275,26.892,2015-11-29,1,1
04702070-4526-45e6-aee2-ad8ab3b36606,-16.275,26.892,2015-12-13,1,1
04702070-4526-45e6-aee2-ad8ab3b36606,-16.275,26.892,2015-12-20,1,0
04702070-4526-45e6-aee2-ad8ab3b36606,-16.275,26.892,2015-12-27,1,1
04702070-4526-45e6-aee2-ad8ab3b36606,-16.275,26.892,2016-01-03,1,0
047cfc53-6b5e-46de-944c-d0c5a16864ce,-16.937,27.134,2016-01-03,1,
047cfc53-6b5e-46de-944c-d0c5a16864ce,-16.937,27.134,2016-01-10,1,
05618404-152b-4919-ab72-773a01108798,-16.611,26.875,2015-11-15,1,0
05618404-152b-4919-ab72-773a01108798,-16.611,26.875,2015-11-30,1,0
05618404-152b-4919-ab72-773a01108798,-16.611,26.875,2015-12-06,1,0
05618404-152b-4919-ab72-773a01108798,-16.611,26.875,2015-12-13,1,1
05618404-152b-4919-ab72-773a01108798,-16.611,26.875,2015-12-20,1,1
05618404-152b-4919-ab72-773a01108798,-16.611,26.875,2015-12-27,1,1
05a95f44-dab9-4483-972b-396e3aab94c5,-16.759,26.961,2015-12-06,1,1
05a95f44-dab9-4483-972b-396e3aab94c5,-16.759,26.961,2015-12-13,1,1
0610312c-6b38-49ed-8ff1-fb8a1c364f8a,-16.744,26.936,2016-01-06,1,1
0649944b-1b12-4d2a-b6d9-aad851c40740,-16.784,27.336,2015-11-15,1,0
0649944b-1b12-4d2a-b6d9-aad851c40740,-16.784,27.336,2015-11-22,1,1
0649944b-1b12-4d2a-b6d9-aad851c40740,-16.784,27.336,2015-11-29,1,1
0649944b-1b12-4d2a-b6d9-aad851c40740,-16.784,27.336,2015-12-09,1,1
0649944b-1b12-4d2a-b6d9-aad851c40740,-16.784,27.336,2015-12-13,1,1
0649944b-1b12-4d2a-b6d9-aad851c40740,-16.784,27.336,2015-12-20,1,0
064beba0-7d74-449b-9c69-bc258cad0c48,-16.862,26.752,2015-11-15,1,0
064beba0-7d74-449b-9c69-bc258cad0c48,-16.862,26.752,2015-11-22,1,1
064beba0-7d74-449b-9c69-bc258cad0c48,-16.862,26.752,2015-11-29,1,1
064beba0-7d74-449b-9c69-bc258cad0c48,-16.862,26.752,2015-12-09,1,1
064beba0-7d74-449b-9c69-bc258cad0c48,-16.862,26.752,2015-12-13,1,1
064beba0-7d74-449b-9c69-bc258cad0c48,-16.862,26.752,2015-12-20,1,1
07f59a2d-0804-4691-9d64-8e0caf51a381,-16.963,27.048,2015-12-13,1,1
081ba99c-1900-420d-aa88-1b5e60995247,-16.935,27.097,2015-12-13,1,1
081ba99c-1900-420d-aa88-1b5e60995247,-16.935,27.097,2015-12-20,1,1
081ba99c-1900-420d-aa88-1b5e60995247,-16.935,27.097,2016-01-10,1,0
083a46a2-6e1a-48d0-b977-121bba0cdc41,-16.765,26.977,2015-11-15,1,0
083a46a2-6e1a-48d0-b977-121bba0cdc41,-16.765,26.977,2015-11-22,1,1
083a46a2-6e1a-48d0-b977-121bba0cdc41,-16.765,26.977,2015-11-30,1,1
083a46a2-6e1a-48d0-b977-121bba0cdc41,-16.765,26.977,2015-12-09,1,0
083a46a2-6e1a-48d0-b977-121bba0cdc41,-16.765,26.977,2015-12-16,1,0
08683ecf-8bd9-4450-9364-5ec918fd0f6e,-16.749,27.284,2015-11-22,1,0
08683ecf-8bd9-4450-9364-5ec918fd0f6e,-16.749,27.284,2015-11-30,1,1
08683ecf-8bd9-4450-9364-5ec918fd0f6e,-16.749,27.284,2015-12-06,1,1
08683ecf-8bd9-4450-9364-5ec918fd0f6e,-16.749,27.284,2015-12-13,1,1
