names,lat,lon,seed,plot,harv,pd1,pd2,pd3,pd4,pd5
10117002,-13.52,28.94,60,3,5750,2016-12-01,2017-01-04,2017-01-18,,
10117003,-13.52,28.94,70,3.5,2250,2016-11-24,2016-12-23,,,
10117004,-13.54,28.91,30,1.5,0,2016-11-07,2016-12-01,,,
10117005,-13.53,28.93,20,1,1500,2016-12-01,,,,
10117006,-13.57,28.9,45,2.25,3000,2016-11-24,2016-12-23,,,
10117007,-13.53,28.93,30,1.5,1900,2016-12-01,2016-12-23,2017-01-04,,
10117008,-13.52,28.94,40,2,1000,2016-11-02,2016-12-01,2016-12-23,,
10117009,-13.53,28.93,20,1,450,2016-12-01,,,,
10117010,-13.52,28.95,10,0.5,360,2016-11-02,,,,
10117011,-13.57,28.9,30,1.5,3150,2016-11-02,2016-12-01,2017-01-04,,
10117012,-13.54,28.9,135,6.75,25500,2016-11-14,2016-12-05,2016-12-05,2016-12-12,
10117013,-13.57,28.9,20,1,1500,2016-12-05,2017-01-04,,,
10117014,-13.53,28.94,40,2,1500,2016-11-24,2016-12-23,,,
10117015,-13.56,28.91,2,0.125,300,2017-01-04,,,,
10117016,-13.53,28.92,0,0,0,,,,,
10118002,-13.96,29.43,40,2,2150,2016-11-02,2016-11-02,2016-12-12,,
10118003,-13.99,29.44,20,1,550,2016-11-07,,,,
10118004,-13.92,29.42,10,0.5,1400,2016-11-02,,,,
10118005,-13.91,29.42,30,1.5,2500,2016-11-14,2016-11-07,2016-12-23,,
10118006,-13.99,29.45,40,2,2500,2016-11-24,2016-11-24,,,
10118007,-13.96,29.41,15,0.5,150,2016-12-12,,,,
10118011,-13.96,29.43,10,0.5,1500,2016-11-07,,,,
10118012,-13.96,29.38,10,0.5,750,2016-12-05,,,,
10118014,-13.99,29.45,50,2,3500,2016-12-05,,,,
10118015,-13.96,29.42,10,0.5,400,2016-12-12,,,,
10118016,-13.57,29.9,30,1.5,10000,2016-12-01,,,,
10118018,-13.96,29.42,35,1.75,6000,2016-12-12,2016-12-12,2016-12-23,,
10118019,-14,29.45,10,0.5,650,2016-12-12,2017-01-04,,,
10118020,-13.96,29.38,30,1.5,1200,2016-11-02,2016-11-07,2016-12-23,2017-01-04,
10118021,-13.96,29.41,20,1,1700,2016-11-24,2016-12-05,,,
10118023,-13.96,29.42,15,0.75,900,2016-11-02,2016-11-14,,,
10118024,-13.96,29.38,0,0,0,,,,,
10118025,-14,29.45,15,0.75,1100,2016-11-07,2017-01-04,,,
10118026,-13.95,29.4,0,0,0,,,,,
10132001,-15.41,27.08,250,12,23310,2016-12-01,2016-12-01,,,
10132002,-15.41,27.08,100,5,6000,2016-12-01,2016-12-12,,,
10134001,-13.59,29.58,30,2,2500,2016-11-14,2016-12-12,,,
10134002,-13.58,29.58,0,0,0,,,,,
10134003,-13.58,29.57,10,0.5,250,2016-12-01,,,,
10134004,-13.59,29.58,10,0.5,400,2016-11-07,,,,
10134005,-13.58,29.59,10,0.5,500,2016-12-05,,,,
10134006,-13.58,29.57,5,0.25,200,2016-12-01,,,,
10134007,-14.59,29.58,0,0,0,,,,,
10134008,-13.58,29.57,10,0.5,1550,2016-11-14,,,,
10134009,-13.59,29.58,5,0.25,1000,2016-12-23,,,,
10134010,-13.59,29.58,20,1,3050,2016-12-01,,,,
10134013,-13.59,29.58,0,0,0,,,,,
10134014,-13.59,29.58,0,0,0,,,,,
10134015,-13.58,29.58,5,0.25,600,2016-11-14,,,,
10134016,-13.58,29.57,6,0.25,250,2016-12-01,,,,
10134018,-13.58,29.56,10,0.5,300,2016-12-01,,,,
10134019,-13.59,29.58,4,0.200000002980232,200,2016-11-24,,,,
10134020,-13.59,29.58,5,0.25,400,2016-11-07,,,,
10134021,-13.59,29.58,10,0.25,400,2016-12-01,,,,
10134022,-13.58,29.57,25,1,2300,2016-12-01,,,,
10136001,-13.73,29.06,15,1,1100,2016-11-24,,,,
10136002,-13.73,29.05,40,2,1750,2016-11-14,2016-11-02,,,
10136004,-13.73,29.06,15,0.75,1400,2016-11-14,,,,
10136005,-13.73,29.07,15,1,1500,2016-12-05,,,,
10136006,-13.73,29.06,30,1.5,40,2016-12-01,,,,
10136007,-13.73,29.05,15,1,750,2016-12-01,,,,
10136008,-13.73,29.06,10,1,1100,2016-11-07,,,,
10136010,-13.73,29.06,0,0,0,,,,,
10136012,-13.73,29.06,2,0.0399999991059303,50,2016-11-07,,,,
10136015,-13.73,29.05,20,1,2200,2016-12-23,,,,
10136016,-13.73,29.06,10,0.5,1000,2016-12-01,,,,
10136018,-13.73,29.06,10,0.5,2000,2016-11-07,,,,
10136019,-13.74,29.07,5,0.25,500,2016-11-14,,,,
10136020,-13.73,29.06,20,1,2400,2016-11-14,,,,
10136021,-13.73,29.04,20,1,3800,2016-12-12,,,,
10136022,-13.74,29.07,10,0.5,750,2016-12-23,,,,
10136023,-13.73,29.06,31,1.5,3620,2016-12-01,2016-12-01,,,
10136024,-13.73,29.06,25,1.5,4150,2016-11-07,2016-11-07,,,
10136025,-13.73,29.07,10,0.5,1500,2016-12-01,,,,
10201001,-15.06,26.75,35,1.90000003576279,1650,2016-12-01,2016-12-01,2016-12-05,,
10201002,-15.07,26.76,30,1.70000004768372,1250,2016-11-07,2016-12-05,,,
10201003,-15.07,26.75,20,2,2000,2016-12-01,2016-11-02,,,
10201004,-15.07,26.75,40,3,3600,2016-11-24,2016-12-01,,,
10201005,-15.08,25.74,20,1,1225,2016-12-12,2017-01-04,,,
10201008,-15.07,26.75,50,2.5,1800,2016-11-07,2016-12-01,,,
10201009,-15.08,26.74,50,2.5,2000,2016-12-01,2016-12-05,,,
10201010,-15.07,26.75,10,0.5,250,2016-11-14,,,,
10201011,-15.06,26.74,30,1.5,3250,2016-11-14,2016-11-02,,,
10201012,-15.08,26.74,10,0.800000011920929,200,2016-12-01,,,,
10201014,-15.07,26.74,30,2,0,2016-11-24,,,,
10201015,-15.07,26.74,30,1.80000007152557,650,2016-12-01,2016-12-05,2016-12-23,,
10201016,-15.08,26.76,10,0.490000009536743,1600,2016-12-05,,,,
10201017,-15.06,26.75,10,2.5,1000,2016-11-14,,,,
10201018,-15.07,26.75,20,1.47000002861023,750,2016-11-02,,,,
10201019,-15.07,26.74,70,3.5,5250,2016-11-24,2016-12-05,2016-12-23,,
10201022,-15.08,26.77,100,5,6000,2016-11-24,2016-12-05,,,
10201023,-15.07,26.74,30,1.5,1600,2016-10-26,2016-11-14,,,
10208001,-14.35,26.92,10,0.5,600,2016-11-24,,,,
10208002,-14.55,26.93,30,1,450,2016-12-01,,,,
10208003,-14.51,26.95,10,0.5,2650,2016-11-07,,,,
10208004,-14.51,26.95,50,2,5000,2016-11-07,,,,
10208005,-14.5,26.91,25,1,4000,2016-11-24,,,,
10208006,-14.52,26.93,20,1,950,2016-11-24,,,,
10208007,-14.55,26.93,20,0.980000019073486,4500,2016-11-02,,,,
10208008,-14.55,26.92,20,1,200,2016-11-24,,,,
10208009,-14.51,26.95,10,1,100,2016-12-01,,,,
10208010,-14.52,26.93,40,2,500,2016-12-23,,,,
10208011,-14.55,26.93,15,0.75,1600,2016-12-12,2016-12-23,,,
10208013,-14.51,26.95,25,1,4200,2016-12-12,,,,
