names,year,lat,lon,seed,plot,harv,pd1,pd2,pd3,pd4,pd5
1710136001,17,-13.73,29.06,15,0.75,500,2016-12-12,,,,
1710136002,17,-13.73,29.07,20,1,1600,2016-12-01,,,,
1710136003,17,-13.72,29.06,5,0.5,300,2016-11-24,,,,
1710201001,17,-19,23,50,3,0,2016-11-24,2016-12-05,,,
1710201002,17,-15.07,26.74,30,1.5,1400,2016-11-24,,,,
1710201003,17,-15.06,26.74,90,4.25,15100,2016-11-24,2016-12-01,,,
1710201004,17,-15.05,26.75,30,1.5,3150,2016-11-14,2016-11-24,2016-12-12,,
1710216001,17,-14.51,29.91,25,1.49000000953674,950,2017-01-04,2016-12-12,,,
1710228001,17,-15.22,27.34,83.5,74,8350,2016-12-05,2016-12-05,2016-12-23,,
1710228002,17,-15.2,27.33,20,1,1400,2016-11-24,,,,
1710232001,17,-15.43,27.08,60,3,9300,2016-11-24,2016-12-01,2017-01-04,,
1710232002,17,-15.41,27.07,40,2,1750,2016-11-14,,,,
1710232003,17,-15.4,27.09,100,5,4000,2016-12-01,2016-12-12,2016-12-23,,
1720106001,17,-13.77,28.65,50,2.5,3000,2016-11-07,,,,
1720106002,17,-19,23,20,1,7850,2016-11-02,2016-11-07,,,
1720106003,17,-13.82,28.66,15,0.5,400,2016-11-02,,,,
1720106004,17,-13.45,27.93,20,1,1500,2016-11-24,,,,
1720106005,17,-13.84,28.65,5,0.25,200,2016-11-14,,,,
1720106006,17,-13.6,27.81,20,1,250,2016-12-12,,,,
1720106007,17,-13.84,28.65,22,1,500,2017-01-04,,,,
1720106008,17,-13.83,28.65,10,0.400000005960465,400,2016-11-24,,,,
1720106009,17,-13.47,27.92,55,3,0,2016-12-01,2016-12-05,2016-12-05,2016-12-12,
1720106010,17,-19,23,15,0.75,1609,2016-11-02,2016-12-01,,,
1720106011,17,-13.45,27.93,20,1,0,2016-10-26,,,,
1720106012,17,-13.6,27.83,30,1.5,3500,2016-12-01,,,,
1720106013,17,-13.61,27.8,70,3,1750,2016-12-01,,,,
1720106014,17,-13.79,28.65,5,0.25,0,2016-11-07,,,,
1720106015,17,-13.47,27.92,40,2.40000003576279,450,2016-11-14,2016-11-14,2017-01-18,,
1720106016,17,-13.45,27.92,100,1,500,2016-10-26,,,,
1720106017,17,-13.84,28.65,10,0.449999988079071,500,2016-11-24,,,,
1720106018,17,-13.35,28.39,10,0.5,1300,2016-11-07,,,,
1720106019,17,-13.83,28.65,30,2,900,2016-11-24,2016-12-01,,,
1720106020,17,-13.37,28.42,5,0.25,1000,2016-12-12,,,,
1720206001,17,-13.38,28.72,55,1.5,7000,2016-11-02,2016-11-07,,,
1720206002,17,-13.67,28.66,30,1.25,1250,2016-11-24,2016-12-12,,,
